R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
111,96.7,Scoot Henderson,PG,POR,72,30.5,0.442 (6.5/14.6),0.797 (2.1/2.6),1.5,16.4,5.1,5.8,1.1,0.3,3.4,0.62
112,119.8,Bruce Brown,"PG,SG,SF",IND,70,29.8,0.488 (4.6/9.4),0.756 (1.6/2.1),1,11.7,5,3.1,1.2,0.8,1.3,0.61
113,127.6,Mike Conley,PG,MIN,68,29.4,0.432 (4.2/9.7),0.813 (1.9/2.3),2.1,12.4,2.8,6,1.1,0.2,1.6,0.51
114,86.7,Marcus Smart,PG,MEM,67,31.8,0.417 (4.2/10.0),0.777 (1.7/2.2),1.8,11.8,3.5,5.3,1.6,0.3,2.3,0.42
115,69.7,Brook Lopez,C,MIL,72,29.7,0.468 (4.7/10.0),0.783 (1.3/1.6),1.5,12.2,5.9,1,0.4,1.5,1.2,0.35
116,97.1,Jonas Valanciunas,C,NO,74,25.4,0.546 (5.2/9.5),0.823 (1.9/2.3),0.5,12.8,9,1.8,0.3,0.6,1.8,0.33
117,141.9,Dillon Brooks,"SG,SF",HOU,70,31.4,0.458 (6.2/13.5),0.841 (2.2/2.6),1.9,16.5,3.5,2.6,1.1,0.2,1.4,0.21
118,141.7,Jeremy Sochan,"PG,PF",SA,69,33.8,0.456 (5.2/11.3),0.766 (1.9/2.5),0.8,13,6.1,4.9,1.1,0.6,2.6,0.18
119,143.8,Grant Williams,PF,DAL,72,32,0.494 (4.6/9.4),0.769 (1.5/2.0),2.6,13.4,4.6,1.5,0.6,0.6,1,0.17
120,141.5,Naz Reid,"PF,C",MIN,72,22.4,0.516 (4.9/9.5),0.726 (1.8/2.5),1.2,12.8,5.7,1.3,0.7,1.1,1.6,0.14
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
121,139.6,Kentavious Caldwell-Pope,"SG,SF",DEN,76,31.1,0.450 (4.4/9.7),0.839 (1.6/1.9),1.8,12.1,3.1,2.2,1.4,0.4,1.2,0.1
122,129,Kevin Huerter,"SG,SF",SAC,74,30,0.470 (5.3/11.2),0.754 (1.0/1.3),2.5,14,3.5,2.9,0.9,0.4,1.3,0.1
123,75.4,Klay Thompson,"SG,SF",GS,68,31.4,0.426 (7.0/16.4),0.885 (1.5/1.7),3.3,18.8,3.7,2.3,0.6,0.4,1.5,0.08
